Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
0.1uF capacitor,power filtering,4,0.32,https://www.digikey.com/en/products/detail/murata-electronics/GRM022D80G104ME15L/5027471?s=N4IgTCBcDaICwE4AMBaAjEgzADgGzpQDkAREAXQF8g,Digikey
22pF capacitor,power filtering,2,0.16,https://www.digikey.com/en/products/detail/yageo/CC0402JRNPO9BN220/302752,Digikey
3V3 LDO,power regulation,1,0.32,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S33CTR/585765?s=N4IgTCBcDaIDIBECMKDsBlAzJgwgFQCUQBdAXyA,Digikey
2V5 LDO,power regulation,1,0.49,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S25CTR/585764?s=N4IgTCBcDaIDIBECMKDsBlMBWAwgFQCUQBdAXyA,Digikey
1V8 LDO,power regulation,1,0.42,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S18TR/1038359?s=N4IgTCBcDaIDIBECMKDsBlJAOAKgJRAF0BfIA,Digikey
green LED,indication light,2,0.54,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/155124GS73200A/8557187?s=N4IgTCBcDaIOwGYwFoCMYAMYWuQOQBEQBdAXyA,Digikey
MicroSD card holder,storage,1,1.57,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/DM3CS-SF/2602739?s=N4IgTCBcDaIBICUCMBOA7GAwgFQLQDkAREAXQF8g,Digikey
USB-C connector,data transfer,1,2.99,https://www.digikey.com/en/products/detail/hirose-electric-co-ltd/CX90BW1-24P1/22566049?s=N4IgTCBcDa4GwFoDCANAnABgEIHUCMCYALAAp5IAqCAcgCIgC6AvkA,Digikey
Ethernet Jack,data transfer,1,4.42,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/2041411-1/7039302?s=N4IgTCBcDaIIIEYDMBWAbKgwgFQLQDkAREAXQF8g,Digikey
Mosfet,reset the sd card,1,0.28,https://www.digikey.com/en/products/detail/infineon-technologies/BSS84PH6327XTSA2/5413661?s=N4IgTCBcDaIEIGUEA4AsAFAEgNgMxgHYANAFQQEEwBhEgWgDkAREAXQF8g,Digikey
10K resistors,filtering,18,0,,
5.1K resistors,filtering,2,0.2,https://www.digikey.com/en/products/detail/yageo/RC0402FR-075K1L/726624?s=N4IgTCBcDaIMwEYEFoCsA6BAGA0gGQCUBhAFWQDkAREAXQF8g,Digikey
4.7K resistors,filtering,3,0.3,https://www.digikey.com/en/products/detail/yageo/RC0402JR-074K7L/726477?s=N4IgTCBcDaIMwEYEFoAsA6A7AaQFICUBhAFWQDkAREAXQF8g,Digikey
tactile button,fpga reset,1,0.24,https://www.digikey.com/en/products/detail/omron-electronics-inc-emc-div/B3F-1000/33150,Digikey
Dip switches,fpga confiuration,1,3.41,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/416131160803/3174527?s=N4IgTCBcDaIOwGYwFoAsBGAbOh6sAYAOfBAYQBVkA5AERAF0BfIA,Digikey
FPGA,main chip,1,21.78,https://www.digikey.com/en/products/detail/lattice-semiconductor-corporation/LFE5U-25F-6BG256C/9553918,Digikey
Ethernet Interface,data transfer,1,1.03,https://www.digikey.com/en/products/detail/microchip-technology/LAN8720A-CP-TR/3872109,Digikey
1V2 LDO,power regulation,1,0.39,https://www.digikey.com/en/products/detail/stmicroelectronics/LD1117S12CTR/1880164?s=N4IgTCBcDaIDIBECMKDsBlJYDCAVASiALoC%2BQA,Digikey
CP2102,usb>uart,1,4.14,https://www.digikey.com/en/products/detail/silicon-labs/CP2102N-A02-GQFN24R/9863479?s=N4IgTCBcDaIMxwGwFoCsAOTyCMyByAIiALoC%2BQA,Digikey
Winbond W959D6NFKX4I,RAM,1,12.13,https://www.digikey.com/en/products/detail/winbond-electronics/W959D6NFKX4I/22146275,Digikey
SPI Flash,storage,1,2.31,https://www.digikey.com/en/products/detail/winbond-electronics/W25Q128JVSIQ-TR/5803944?s=N4IgTCBcDa4KwDYC0B1McCKBGMAOAUgGoDKAkhgCoBKAwhUgHIAiIAugL5A,Digikey
25MHZ clock,clock,1,0.99,https://www.digikey.com/en/products/detail/abracon-llc/ASE-25-000MHZ-L-C-T/1236885?s=N4IgTCBcDaIKwGY4FoCCBlAosscB0ADEQLIASAWsgDLIDCyAKrQ8gHIAiIAugL5A,Digikey
25MHZ Parrallel clock,ethernet,1,1.02,https://www.digikey.com/en/products/detail/ecs-inc/ECS-250-18-23A-EN-TR/2213748?s=N4IgTCBcDaIBoGECMA2A7EhAVAtAOQBEQBdAXyA,Digikey
