"Reference","Qty","Value","DigiKey_Part_Number","Mouser Part Number"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23","23","GRM022D80G104ME15L","490-10386-1-ND",""
"CR1","1","LD1117S33CTR","LD1117S33CTR",""
"CR2","1","LD1117S25CTR","LD1117S25CTR",""
"D1,D2","2","WL-SMSW_1204_A","732-12022-1-ND",""
"IC1","1","LFE5U-25F-6TG144C","","842-LFE5U25F6TG144C"
"J1","1","DM3CS-SF","HR1972CT-ND",""
"J2","1","CX90BW1-24P1","26-CX90BW1-24P1CT-ND",""
"Q1","1","BSS84PH6327XTSA2","BSS84PH6327XTSA2CT-ND",""
"R1,R2,R3,R4,R5,R90,R91,R92,R93","9","10k","N/A",""
"R6,R7","2","RC0402FR-075K1L","311-5.10KLRCT-ND",""
"R8,R87,R88,R89","4","RC0402JR-074K7L","311-4.7KJRCT-ND",""
"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86","78","KTR10EZPJ470","RHM47BCT-ND",""
"S1","1","B3F-1000","SW400-ND",""
"S2","1","416131160803","732-416131160803CT-ND",""
"U1,U2","2","W9825G6KH-6","W9825G6KH-6-ND",""
"U3","1","LD1117S12CTR","LD1117S12CTR",""
"U4","1","W25Q128JVSIQ TR","256-W25Q128JVSIQTRCT-ND",""
"U5","1","CP2102N-A02-GQFN24R","336-5888-1-ND",""
"Y1","1","ASE-25.000MHZ-LC-T","535-ASE-25.000MHZ-L-C-TCT-ND",""
